<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<cn.hutool.core.util.ObjectUtil: boolean isNull(java.lang.Object)>-><org.opsli.common.utils.DefPatternPool$RegexWithFlag: boolean equals(java.lang.Object)>
<java.util.concurrent.ConcurrentHashMap$MapEntry: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.options.OptionsModel: boolean equals(java.lang.Object)>
<org.springframework.boot.convert.NumberToPeriodConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.role.RoleModel: java.lang.String toString()>
<com.fasterxml.jackson.databind.ser.std.ToStringSerializer: java.lang.String valueToString(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: java.lang.String toString()>
<org.springframework.boot.convert.CharSequenceToObjectConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: java.lang.String toString()>
<org.apache.commons.beanutils.ConvertUtilsBean: java.lang.Object convert(java.lang.Object,java.lang.Class)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: java.lang.String toString()>
<javax.management.modelmbean.DescriptorSupport: java.lang.String[] getFields()>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<cn.hutool.core.convert.AbstractConverter: java.lang.String convertToStr(java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictModel: java.lang.String toString()>
<com.google.common.collect.ImmutableSet$RegularSetBuilderImpl: java.lang.Object[] rebuildHashTable(int,java.lang.Object[],int)>-><org.opsli.api.wrapper.gentest.user.TestUserModel: int hashCode()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.springframework.web.context.request.ServletRequestAttributes: java.lang.String toString()>
<org.springframework.web.servlet.mvc.condition.AbstractRequestCondition: java.lang.String toString()>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<reactor.util.context.Context2: void <init>(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: boolean equals(java.lang.Object)>
<cn.hutool.core.util.ArrayUtil: java.lang.String toString(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: java.lang.String toString()>
<org.springframework.cglib.core.EmitUtils$5: java.lang.Object transform(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: int hashCode()>
<java.util.Hashtable: java.lang.Object remove(java.lang.Object)>-><org.opsli.api.wrapper.system.org.SysOrgModel: int hashCode()>
<org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserModel: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.springframework.web.context.support.WebApplicationContextUtils$FacesDependencyRegistrar$2: java.lang.String toString()>
<org.springframework.beans.factory.support.PropertiesBeanDefinitionReader: void registerBeanDefinition(java.lang.String,java.util.Map,java.lang.String,java.lang.String)>-><org.opsli.api.base.encrypt.EncryptModel: java.lang.String toString()>
<sun.security.util.ManifestEntryVerifier: void setEntry(java.lang.String,java.util.jar.JarEntry)>-><org.opsli.api.wrapper.system.options.OptionsModel: java.lang.String toString()>
<com.google.common.collect.ImmutableSet$RegularSetBuilderImpl: java.lang.Object[] rebuildHashTable(int,java.lang.Object[],int)>-><org.opsli.api.wrapper.system.options.OptionsModel: int hashCode()>
<sun.util.locale.provider.TimeZoneNameUtility: java.lang.String[] retrieveDisplayNamesImpl(java.lang.String,java.util.Locale)>-><org.opsli.common.api.ResultVoMap: java.lang.Object put(java.lang.Object,java.lang.Object)>
<javax.management.openmbean.TabularDataSupport: int hashCode()>-><org.opsli.api.wrapper.gentest.carinfo.TestCarModel: int hashCode()>
<java.util.Arrays: int deepHashCode(java.lang.Object[])>-><org.opsli.plugins.email.wrapper.EmailModel: int hashCode()>
<org.opsli.OpsliApplication: org.opsli.plugins.redisson.properties.RedissonProperties getRedissonPropertiesInstance()>-><org.opsli.plugins.redisson.properties.RedissonProperties: org.opsli.plugins.redisson.properties.RedissonProperties setDatabase(int)>
