<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<com.alibaba.fastjson.serializer.ToStringSerializer: void write(com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int)>-><org.opsli.api.wrapper.system.dict.DictModel: java.lang.String toString()>
<java.util.WeakHashMap: int hash(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: int hashCode()>
<java.util.concurrent.ConcurrentHashMap$MapEntry: boolean equals(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: boolean equals(java.lang.Object)>
<java.util.AbstractMap: boolean containsKey(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: boolean equals(java.lang.Object)>
<java.text.AttributeEntry: java.lang.String toString()>-><org.opsli.api.wrapper.system.role.RoleModel: java.lang.String toString()>
<org.springframework.expression.spel.ast.QualifiedIdentifier: org.springframework.expression.TypedValue getValueInternal(org.springframework.expression.spel.ExpressionState)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: java.lang.String toString()>
<org.apache.commons.collections.FastHashMap: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictDetailModel: boolean equals(java.lang.Object)>
<reactor.util.context.Context3: java.lang.Object get(java.lang.Object)>-><org.opsli.api.wrapper.system.logs.LogsModel: boolean equals(java.lang.Object)>
<org.apache.commons.beanutils.ConvertUtilsBean: java.lang.Object convert(java.lang.Object,java.lang.Class)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: java.lang.String toString()>
<org.apache.logging.log4j.message.ParameterFormatter: void tryObjectToString(java.lang.Object,java.lang.StringBuilder)>-><org.opsli.api.wrapper.system.logs.LogsModel: java.lang.String toString()>
<com.alibaba.fastjson.util.TypeUtils: java.lang.Float castToFloat(java.lang.Object)>-><org.opsli.api.wrapper.system.area.SysAreaModel: java.lang.String toString()>
<java.util.EnumMap: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.test.TestModel: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.springframework.web.cors.CorsConfiguration$OriginPattern: java.lang.String toString()>
<java.util.HashMap: java.lang.Object putVal(int,java.lang.Object,java.lang.Object,boolean,boolean)>-><org.opsli.api.wrapper.system.area.SysAreaModel: boolean equals(java.lang.Object)>
<java.util.HashMap: boolean containsValue(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleModel: boolean equals(java.lang.Object)>
<com.google.common.collect.AbstractMapEntry: int hashCode()>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: int hashCode()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.springframework.web.util.pattern.PathPattern: java.lang.String toString()>
<java.util.Hashtable: java.lang.Object merge(java.lang.Object,java.lang.Object,java.util.function.BiFunction)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: int hashCode()>
<org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: int hashCode()>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: java.lang.String getOldTableName()>
<reactor.util.context.Context2: void <init>(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.api.base.encrypt.EncryptModel: boolean equals(java.lang.Object)>
<java.util.EnumMap$EntryIterator$Entry: boolean equals(java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: boolean equals(java.lang.Object)>
<org.opsli.api.wrapper.system.user.UserModel: int hashCode()>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String getIzTenantAdmin()>
<org.opsli.OpsliApplication: void initBean_synthetic()>-><com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration: com.baomidou.dynamic.datasource.aop.DynamicDataSourceAdvisor dynamicAdvisor(com.baomidou.dynamic.datasource.DynamicDataSourceConfigure,com.baomidou.dynamic.datasource.processor.DsProcessor)>
<reactor.util.function.Tuple2: int hashCode()>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: int hashCode()>
<org.apache.commons.beanutils.converters.NumberConverter: java.lang.String convertToString(java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: java.lang.String toString()>
<java.util.ArrayList: int indexOf(java.lang.Object)>-><org.opsli.plugins.email.wrapper.EmailModel: boolean equals(java.lang.Object)>
<java.util.Hashtable$Entry: boolean equals(java.lang.Object)>-><org.opsli.modulars.system.menu.entity.SysMenu: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><java.time.ZoneId: java.lang.String toString()>
<javax.security.auth.Subject$SecureSet: boolean contains(java.lang.Object)>-><org.opsli.api.wrapper.gentest.user.TestUserModel: boolean equals(java.lang.Object)>
<org.opsli.modulars.tools.common.bean.VerificationCodeBean: void sendEmailCode(java.lang.String,java.lang.String)>-><org.opsli.core.options.EmailConfigFactory: org.opsli.plugins.email.conf.EmailConfig getConfig()>
<com.sun.jmx.mbeanserver.Util: int hashCode(java.lang.String[],java.lang.Object[])>-><org.opsli.api.wrapper.system.dict.DictDetailModel: int hashCode()>
<javax.management.modelmbean.DescriptorSupport: boolean isValid()>-><org.opsli.modulars.generator.table.wrapper.GenTableModel: java.lang.String toString()>
<reactor.util.context.Context5: reactor.util.context.Context put(java.lang.Object,java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableModel: boolean equals(java.lang.Object)>
<org.opsli.modulars.system.menu.entity.SysMenu: int hashCode()>-><org.opsli.modulars.system.menu.entity.SysMenu: java.lang.String getComponent()>
<cn.hutool.core.convert.impl.ArrayConverter: java.lang.Object convertObjectToArray(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String toString()>
<java.lang.String: java.lang.String valueOf(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserAvatarModel: java.lang.String toString()>
<org.opsli.OpsliApplication: org.springframework.boot.actuate.autoconfigure.context.properties.ConfigurationPropertiesReportEndpointProperties getConfigurationPropertiesReportEndpointPropertiesInstance()>-><org.springframework.boot.actuate.autoconfigure.context.properties.ConfigurationPropertiesReportEndpointProperties: void <init>()>
<com.alibaba.druid.pool.DruidAbstractDataSource: void setConnectionInitSqls(java.util.Collection)>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: java.lang.String toString()>
<org.opsli.core.options.SmsAliYunConfigFactory$SmsAliYunConfigOption: java.lang.String toString()>-><java.lang.StringBuilder: java.lang.String toString()>
<org.opsli.core.utils.SystemInfoUtil$JvmInfo: java.lang.String toString()>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: java.lang.String getRunTime()>
<java.util.concurrent.ConcurrentHashMap: boolean containsValue(java.lang.Object)>-><org.opsli.api.wrapper.system.org.SysOrgModel: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.JSONPath$MatchSegement: boolean apply(com.alibaba.fastjson.JSONPath,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<com.alibaba.fastjson.serializer.DateCodec: void write(com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<java.util.concurrent.ConcurrentHashMap: java.lang.Object get(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.parser.deserializer.Jdk8DateCodec: void write(com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: java.lang.String toString()>
<javax.management.openmbean.CompositeDataSupport: int hashCode()>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: int hashCode()>
<java.util.EnumMap$Values: boolean remove(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: boolean equals(java.lang.Object)>
<com.google.common.collect.AbstractMapEntry: int hashCode()>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: int hashCode()>
<com.alibaba.druid.mock.MockDriver: java.sql.Connection connect(java.lang.String,java.util.Properties)>-><org.opsli.common.utils.RateLimiterUtil$RateLimiterInner: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.bouncycastle.asn1.DERPrintableString: java.lang.String toString()>
<java.util.WeakHashMap$Entry: boolean equals(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: boolean equals(java.lang.Object)>
<org.opsli.common.utils.ListDistinctUtil: java.util.List distinct(java.util.List,java.util.Comparator)>-><jdk.internal.org.xml.sax.SAXException: java.lang.String getMessage()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><java.lang.String: java.lang.String toString()>
<com.google.common.collect.SingletonImmutableSet: boolean contains(java.lang.Object)>-><org.opsli.api.wrapper.system.tenant.TenantModel: boolean equals(java.lang.Object)>
<java.util.concurrent.ConcurrentHashMap$ForwardingNode: java.util.concurrent.ConcurrentHashMap$Node find(int,java.lang.Object)>-><org.opsli.api.wrapper.system.logs.OperationLogModel: boolean equals(java.lang.Object)>
<java.util.AbstractMap: java.lang.Object remove(java.lang.Object)>-><org.opsli.api.wrapper.system.logs.LogsModel: boolean equals(java.lang.Object)>
<org.springframework.boot.convert.StringToPeriodConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.modulars.system.menu.entity.SysMenu: java.lang.String toString()>
<java.util.ArrayList: int indexOf(java.lang.Object)>-><org.opsli.api.wrapper.system.options.OptionsModel: boolean equals(java.lang.Object)>
<java.util.Objects: int hashCode(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: int hashCode()>
<org.apache.commons.beanutils.converters.NumberConverter: java.lang.String convertToString(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: java.lang.String toString()>
<java.util.HashMap$TreeNode: java.util.HashMap$TreeNode find(int,java.lang.Object,java.lang.Class)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: boolean equals(java.lang.Object)>
<com.google.common.collect.Sets: int hashCodeImpl(java.util.Set)>-><org.opsli.api.wrapper.gentest.user.TestUserModel: int hashCode()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.opsli.api.wrapper.system.area.SysAreaModel: java.lang.String toString()>
<org.opsli.OpsliApplication: org.springframework.boot.autoconfigure.data.couchbase.CouchbaseDataProperties getCouchbaseDataPropertiesInstance()>-><org.springframework.boot.autoconfigure.data.couchbase.CouchbaseDataProperties: void <init>()>
<com.alibaba.fastjson.parser.DefaultJSONParser: void parseArray(java.lang.reflect.Type,java.util.Collection,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$DiskInfo: java.lang.String toString()>
<org.springframework.expression.spel.ast.OpLT: org.springframework.expression.spel.support.BooleanTypedValue getValueInternal(org.springframework.expression.spel.ExpressionState)>-><org.opsli.api.wrapper.system.org.SysOrgModel: java.lang.String toString()>
<com.alibaba.fastjson.JSONObject: boolean containsKey(java.lang.Object)>-><org.opsli.api.wrapper.system.logs.OperationLogModel: java.lang.String toString()>
<com.alibaba.fastjson.JSONObject: java.lang.Object get(java.lang.Object)>-><org.opsli.api.wrapper.system.options.OptionsModel: java.lang.String toString()>
<java.lang.String: java.lang.String valueOf(java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: java.lang.String toString()>
<com.sun.jna.NativeString: int compareTo(java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: java.lang.String toString()>
<org.springframework.boot.convert.StringToPeriodConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.modulars.generator.table.wrapper.GenTableModel: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><sun.security.provider.PolicyFile$PolicyEntry: java.lang.String toString()>
<javax.management.openmbean.OpenMBeanAttributeInfoSupport: boolean equal(javax.management.openmbean.OpenMBeanParameterInfo,javax.management.openmbean.OpenMBeanParameterInfo)>-><org.opsli.core.options.SmsAliYunConfigFactory$SmsAliYunConfigOption: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.JSONObject: boolean containsKey(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: java.lang.String toString()>
<com.google.common.collect.RegularImmutableSet: boolean contains(java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.parser.DefaultJSONParser: java.lang.Object parseObject(java.util.Map,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictModel: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><sun.net.httpserver.HttpConnection: java.lang.String toString()>
<java.util.stream.DistinctOps$1$1: void accept(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: boolean equals(java.lang.Object)>
<org.springframework.expression.spel.ast.OpLT: org.springframework.expression.spel.support.BooleanTypedValue getValueInternal(org.springframework.expression.spel.ExpressionState)>-><org.opsli.api.wrapper.system.dict.DictDetailModel: java.lang.String toString()>
<cn.hutool.core.util.ArrayUtil: java.lang.String toString(java.lang.Object)>-><org.opsli.api.wrapper.system.org.SysOrgModel: java.lang.String toString()>
<java.util.stream.DistinctOps$1$1: void accept(java.lang.Object)>-><org.opsli.api.base.encrypt.EncryptModel: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.util.TypeUtils: java.lang.Float castToFloat(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><com.google.common.collect.AbstractMapBasedMultimap$WrappedCollection: java.lang.String toString()>
<com.alibaba.fastjson.serializer.ToStringSerializer: void write(com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: java.lang.String toString()>
<java.util.Hashtable: java.lang.Object get(java.lang.Object)>-><org.opsli.api.wrapper.system.area.SysAreaModel: boolean equals(java.lang.Object)>
<reactor.util.context.Context4: void checkKeys(java.lang.Object[])>-><org.opsli.api.wrapper.system.dict.DictDetailModel: boolean equals(java.lang.Object)>
<java.util.HashMap: boolean containsValue(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: boolean equals(java.lang.Object)>
<java.util.Arrays: int hashCode(java.lang.Object[])>-><org.opsli.core.options.SmsAliYunConfigFactory$SmsAliYunConfigOption: int hashCode()>
<java.util.concurrent.LinkedBlockingQueue: boolean remove(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$DiskInfo: boolean equals(java.lang.Object)>
<org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: int hashCode()>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: java.lang.String getTableType()>
<com.alibaba.druid.mock.MockDriver: java.sql.Connection connect(java.lang.String,java.util.Properties)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: java.lang.String toString()>
<org.springframework.cglib.core.WeakCacheKey: boolean equals(java.lang.Object)>-><org.opsli.common.utils.DefPatternPool$RegexWithFlag: boolean equals(java.lang.Object)>
<com.google.common.collect.SingletonImmutableSet: int hashCode()>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: int hashCode()>
<java.util.LinkedList: boolean remove(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.serializer.JodaCodec: void write(com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: java.lang.String toString()>
<java.util.concurrent.CopyOnWriteArrayList: int hashCode()>-><org.opsli.api.wrapper.system.user.UserModel: int hashCode()>
<org.opsli.OpsliApplication: org.springframework.boot.autoconfigure.jackson.JacksonProperties getJacksonPropertiesInstance()>-><org.springframework.boot.autoconfigure.jackson.JacksonProperties: void setPropertyNamingStrategy(java.lang.String)>
<cn.hutool.core.util.StrUtil: java.lang.String str(java.lang.Object,java.nio.charset.Charset)>-><org.opsli.api.wrapper.gentest.user.TestUserModel: java.lang.String toString()>
<java.util.HashMap: java.lang.Object putVal(int,java.lang.Object,java.lang.Object,boolean,boolean)>-><org.opsli.api.base.encrypt.EncryptModel: boolean equals(java.lang.Object)>
<java.util.Vector: int indexOf(java.lang.Object,int)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: boolean equals(java.lang.Object)>
<java.util.concurrent.ConcurrentHashMap$TreeBin: java.util.concurrent.ConcurrentHashMap$Node find(int,java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateCopyModel: boolean equals(java.lang.Object)>
<org.springframework.boot.convert.LenientObjectToEnumConverterFactory$LenientToEnumConverter: java.lang.Enum convert(java.lang.Object)>-><org.opsli.api.wrapper.system.logs.LogsModel: java.lang.String toString()>
<java.util.Hashtable: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.org.SysOrgModel: boolean equals(java.lang.Object)>
<org.opsli.modulars.tools.common.bean.VerificationCodeBean: void sendMobileCode(java.lang.String,java.lang.String)>-><java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><com.fasterxml.jackson.databind.JsonMappingException$Reference: java.lang.String toString()>
<java.util.concurrent.ConcurrentHashMap$MapEntry: int hashCode()>-><org.opsli.common.utils.DefPatternPool$RegexWithFlag: int hashCode()>
<reactor.util.context.Context4: void checkKeys(java.lang.Object[])>-><org.opsli.api.wrapper.system.user.UserModel: boolean equals(java.lang.Object)>
<com.alibaba.druid.pool.DruidDataSource: void setConnectProperties(java.util.Properties)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: boolean equals(java.lang.Object)>
<java.lang.String: java.lang.String valueOf(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: java.lang.String toString()>
<com.alibaba.fastjson.parser.deserializer.Jdk8DateCodec: java.lang.Object castToLocalDateTime(java.lang.Object,java.lang.String)>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: java.lang.String toString()>
<org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: java.lang.Object deserialize(byte[])>-><com.sun.jna.Structure: java.lang.String toString()>
<com.google.common.collect.AbstractMapEntry: int hashCode()>-><org.opsli.api.wrapper.system.dict.DictDetailModel: int hashCode()>
<com.alibaba.fastjson.parser.DefaultJSONParser: void parseArray(java.lang.reflect.Type,java.util.Collection,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.apache.poi.hssf.record.InterfaceHdrRecord: java.lang.String toString()>
<java.awt.font.StyledParagraph: void addFont(java.lang.Object,int)>-><org.opsli.core.log.bean.OperationLog: boolean equals(java.lang.Object)>
<java.text.AttributedString: boolean valuesMatch(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictModel: boolean equals(java.lang.Object)>
<org.opsli.api.wrapper.system.user.UserModel: int hashCode()>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String getLoginIp()>
<com.fasterxml.jackson.databind.ser.std.NumberSerializer$BigDecimalAsStringSerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.plugins.email.wrapper.EmailModel: java.lang.String toString()>
<org.opsli.core.utils.SearchHisUtil: void putSearchHis(javax.servlet.http.HttpServletRequest,java.util.List)>-><com.google.common.collect.SingletonImmutableList: java.util.Iterator iterator()>
<org.springframework.data.redis.connection.RedisSentinelConfiguration: void <init>(org.springframework.core.env.PropertySource)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<com.sun.jna.WString: int compareTo(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: java.lang.String toString()>
<reactor.util.function.Tuple2: int hashCode()>-><org.opsli.api.wrapper.system.dict.DictDetailModel: int hashCode()>
<java.util.Arrays: int deepHashCode(java.lang.Object[])>-><org.opsli.modulars.generator.template.wrapper.GenTemplateDetailModel: int hashCode()>
<com.fasterxml.jackson.databind.ser.std.NumberSerializer$BigDecimalAsStringSerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: java.lang.String toString()>
<java.util.concurrent.ConcurrentHashMap: java.lang.Object computeIfAbsent(java.lang.Object,java.util.function.Function)>-><org.opsli.api.base.encrypt.EncryptModel: int hashCode()>
<org.opsli.api.wrapper.test.TestModel: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.test.TestModel: boolean canEqual(java.lang.Object)>
<java.util.WeakHashMap: boolean containsValue(java.lang.Object)>-><org.opsli.api.wrapper.gentest.carinfo.TestCarModel: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.JSONPath$StringOpSegement: boolean apply(com.alibaba.fastjson.JSONPath,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictModel: java.lang.String toString()>
<org.springframework.boot.convert.NumberToPeriodConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.logs.LogsModel: java.lang.String toString()>
<java.lang.invoke.InvokerBytecodeGenerator: java.lang.String debugString(java.lang.Object)>-><org.opsli.api.wrapper.test.TestModel: java.lang.String toString()>
<java.util.Objects: int hashCode(java.lang.Object)>-><org.opsli.modulars.system.role.entity.SysRoleMenuRef: int hashCode()>
<cn.hutool.core.collection.CollUtil: int lambda$create$0(java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: java.lang.String toString()>
<com.google.common.collect.ImmutableSet$RegularSetBuilderImpl: com.google.common.collect.ImmutableSet$SetBuilderImpl insertInHashTable(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: int hashCode()>
<java.util.HashMap: int hash(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: int hashCode()>
<java.util.concurrent.ConcurrentHashMap$Node: java.util.concurrent.ConcurrentHashMap$Node find(int,java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: boolean equals(java.lang.Object)>
<reactor.util.context.Context3: void <init>(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.yaml.snakeyaml.reader.ReaderException: java.lang.String toString()>
<java.util.EnumMap: boolean equals(java.util.EnumMap)>-><org.opsli.api.wrapper.system.dict.DictModel: boolean equals(java.lang.Object)>
<net.sf.cglib.core.EmitUtils$5: java.lang.Object transform(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleModel: int hashCode()>
<org.opsli.core.utils.OptionsUtil: org.opsli.api.wrapper.system.options.OptionsModel getOptionByCode(org.opsli.common.enums.OptionsType)>-><org.opsli.core.utils.OptionsUtil: org.opsli.api.wrapper.system.options.OptionsModel getOptionByCode(java.lang.String)>
<com.fasterxml.jackson.databind.ser.std.RawSerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.api.wrapper.system.logs.LogsModel: java.lang.String toString()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><io.netty.bootstrap.AbstractBootstrap: java.lang.String toString()>
<java.util.Formatter$FormatSpecifier: void printHashCode(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: int hashCode()>
<java.util.stream.DistinctOps$1$1: void accept(java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleModel: boolean equals(java.lang.Object)>
<reactor.util.context.Context1: reactor.util.context.Context put(java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$DiskInfo: boolean equals(java.lang.Object)>
<java.util.EnumMap: int entryHashCode(int)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: int hashCode()>
<sun.util.locale.provider.LocaleResources: java.lang.String getCurrencyName(java.lang.String)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateCopyModel: boolean equals(java.lang.Object)>
<com.fasterxml.jackson.databind.ser.std.StdKeySerializers$EnumKeySerializer: void serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: java.lang.String toString()>
<org.opsli.api.wrapper.system.dict.DictDetailModel: int hashCode()>-><org.opsli.api.wrapper.system.dict.DictDetailModel: java.lang.String getTypeId()>
<com.google.common.collect.SingletonImmutableSet: java.lang.String toString()>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: java.lang.String toString()>
<org.springframework.beans.factory.support.AbstractBeanFactory: boolean isPrototypeCurrentlyInCreation(java.lang.String)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><java.awt.image.DirectColorModel: java.lang.String toString()>
<java.util.Arrays: int hashCode(java.lang.Object[])>-><org.opsli.api.wrapper.system.org.SysOrgModel: int hashCode()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><com.jfinal.template.expr.Tok: java.lang.String toString()>
<com.alibaba.fastjson.serializer.SerialContext: void toString(java.lang.StringBuilder)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: java.lang.String toString()>
<org.opsli.api.wrapper.gentest.carinfo.TestCarModel: int hashCode()>-><org.opsli.api.wrapper.gentest.carinfo.TestCarModel: java.lang.String getCarBrand()>
